fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
NF,,,,,51.621244,-115.608378,2347.0,,,,,,190.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2351.0,,,,,,188.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2355.0,,,,,,132.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2313.0,,,,,,109.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2218.0,,,,,,109.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2162.0,,,,,,123.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2156.0,,,,,,147.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2147.0,,,,,,126.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,2126.0,,,,,,117.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2116.0,,,,,,115.0,,,0.8,,20,,2
C3,,,,,51.621244,-115.608378,2108.0,,,,,,103.0,,,1.15,,20,,3
C2,,,,,51.621244,-115.608378,2101.0,,,,,,86.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2076.0,,,,,,94.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2064.0,,,,,,190.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,2080.0,,,,,,211.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,2099.0,,,,,,197.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,2351.0,,,,,,184.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2355.0,,,,,,193.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2362.0,,,,,,199.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2370.0,,,,,,198.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2375.0,,,,,,194.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2380.0,,,,,,194.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2384.0,,,,,,159.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2376.0,,,,,,114.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2366.0,,,,,,135.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2363.0,,,,,,184.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2367.0,,,,,,193.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2369.0,,,,,,176.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2366.0,,,,,,149.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2360.0,,,,,,126.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2348.0,,,,,,115.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2334.0,,,,,,113.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2323.0,,,,,,124.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2321.0,,,,,,156.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2321.0,,,,,,180.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2320.0,,,,,,189.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2319.0,,,,,,191.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2319.0,,,,,,189.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2322.0,,,,,,191.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2328.0,,,,,,195.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2333.0,,,,,,199.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2339.0,,,,,,191.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2339.0,,,,,,122.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2285.0,,,,,,103.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2190.0,,,,,,101.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2152.0,,,,,,111.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2149.0,,,,,,130.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2132.0,,,,,,120.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,2118.0,,,,,,129.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2113.0,,,,,,138.0,,,0.8,,20,,2
C3,,,,,51.621244,-115.608378,2104.0,,,,,,131.0,,,1.15,,20,,3
C2,,,,,51.621244,-115.608378,2096.0,,,,,,109.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2080.0,,,,,,97.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2060.0,,,,,,126.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2057.0,,,,,,199.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2069.0,,,,,,195.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,2320.0,,,,,,185.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2326.0,,,,,,197.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2339.0,,,,,,204.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2351.0,,,,,,202.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2357.0,,,,,,201.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2365.0,,,,,,206.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2372.0,,,,,,190.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2370.0,,,,,,146.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2361.0,,,,,,133.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2356.0,,,,,,166.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2357.0,,,,,,190.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2359.0,,,,,,181.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2358.0,,,,,,155.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2352.0,,,,,,131.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2337.0,,,,,,128.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2326.0,,,,,,133.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2314.0,,,,,,142.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2304.0,,,,,,164.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2302.0,,,,,,177.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2301.0,,,,,,181.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2304.0,,,,,,186.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2306.0,,,,,,193.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2310.0,,,,,,202.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2316.0,,,,,,203.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2321.0,,,,,,202.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2326.0,,,,,,187.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2323.0,,,,,,115.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2277.0,,,,,,95.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2189.0,,,,,,92.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2146.0,,,,,,103.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,2143.0,,,,,,128.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2125.0,,,,,,115.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2107.0,,,,,,125.0,,,0.8,,20,,2
C3,,,,,51.621244,-115.608378,2099.0,,,,,,147.0,,,1.15,,20,,3
C3,,,,,51.621244,-115.608378,2096.0,,,,,,146.0,,,1.15,,20,,3
C3,,,,,51.621244,-115.608378,2089.0,,,,,,129.0,,,1.15,,20,,3
C2,,,,,51.621244,-115.608378,2078.0,,,,,,111.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2053.0,,,,,,107.0,,,0.8,,20,,2
